flow_model,flow_model_label,predicted_thrust_newtons,predicted_isp_seconds,chamber_pressure_kpa,mass_flow_kg_s,exit_pressure_kpa,thrust_coefficient,overall_efficiency,separation_efficiency,nozzle_half_angle_deg,nozzle_expansion_ratio
fast,Fast quasi-1D preview,245.8,217.0,201.7,0.1,2.6,1.5,0.9008,1.0,18.043,11.611
refined,Refined quasi-1D solve,245.7,185.7,262.9,0.1,2.9,1.3,0.8705,0.9423,25.191,11.611
