architecture,chamber_pressure_kpa,required_feed_pressure_kpa,fuel_tank_pressure_kpa,oxidizer_tank_pressure_kpa,pump_differential_pressure_kpa,fuel_margin_kpa,oxidizer_margin_kpa
pump-fed,1770.0,2122.558,282.194,314.969,1898.137,57.774,90.549
pressure-fed,1640.0,1979.428,2119.428,2159.428,0.0,140.0,180.0
