iteration,chamber_pressure_kpa,chamber_density_kg_m3,chamber_velocity_m_s,thrust_coefficient,relative_error
1.0,3407.2,1.3,26.3,1.5,1.114822
2.0,2013.4,1.3,26.3,1.5,0.248083
3.0,1316.4,1.3,26.3,1.3,0.251451
4.0,1664.9,1.3,26.3,1.5,0.031398
5.0,1490.7,1.3,26.3,1.5,0.076944
6.0,1577.8,1.3,26.3,1.5,0.022773
7.0,1621.3,1.3,26.3,1.5,0.004313
